Nombre,Equipo,MP,FG,FGA,FG3,FG3A,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,G,PER
Frank Kaminsky,Phoenix Suns,716,121,257,31,85,37,60,36,152,79,14,17,22,70,310,47,18.66
Frank Mason III,Orlando Magic,79,9,24,2,5,5,7,3,9,12,0,0,5,7,25,4,9.61
Frank Ntilikina,New York Knicks,320,29,79,23,48,8,18,6,25,19,18,4,11,45,89,33,9.12
Fred VanVleet,Toronto Raptors,1902,338,870,174,476,169,191,32,188,328,87,37,95,119,1019,52,20.52
Freddie Gillespie,Toronto Raptors,394,44,84,0,0,23,33,42,55,9,13,20,12,43,111,20,15.11
Furkan Korkmaz,Philadelphia 76ers,1061,170,424,101,269,60,82,17,96,82,49,9,46,64,501,55,15.63
Gabe Vincent,Miami Heat,659,88,233,46,149,20,23,10,46,67,21,2,34,79,242,50,9.94
Gabriel Deck,Oklahoma City Thunder,212,32,67,2,15,18,22,16,24,24,8,0,6,9,84,10,18.91
Garrett Temple,Chicago Bulls,1528,158,381,67,200,40,50,29,131,124,43,30,58,126,423,56,10.17
Garrison Mathews,Washington Wizards,1037,97,237,76,198,84,95,16,71,26,29,7,10,106,354,64,12.1
Gary Clark,Denver Nuggets,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3.68
Gary Clark,Orlando Magic,637,40,131,31,108,8,10,33,79,30,12,7,17,34,119,35,7.42
Gary Clark,Philadelphia 76ers,13,0,1,0,0,0,0,0,2,1,1,0,0,1,0,2,4.74
Gary Harris,Denver Nuggets,583,69,156,24,75,22,30,13,34,32,17,4,14,37,184,19,11.03
Gary Harris,Orlando Magic,499,69,189,24,66,42,48,8,24,46,11,7,23,34,204,20,11.26
Gary Payton II,Golden State Warriors,39,10,13,2,4,3,4,2,9,1,6,1,1,8,25,10,35.44
Gary Trent Jr.,Portland Trail Blazers,1265,217,524,121,305,58,75,21,70,58,37,6,31,63,613,41,14.7
Gary Trent Jr.,Toronto Raptors,539,103,261,44,124,25,31,6,55,22,19,4,12,29,275,17,14.52
George Hill,Oklahoma City Thunder,368,61,120,22,57,21,25,8,21,43,12,2,12,12,165,14,18.9
George Hill,Philadelphia 76ers,303,34,77,9,23,19,25,8,24,30,11,3,19,19,96,16,11.68
Georges Niang,Utah Jazz,1151,177,405,124,292,22,23,28,148,59,25,8,51,116,500,72,13.85
Giannis Antetokounmpo,Milwaukee Bucks,2011,626,1100,67,221,398,581,97,574,357,72,73,207,168,1717,61,35.29
Glenn Robinson III,Sacramento Kings,372,42,99,16,44,21,23,11,34,20,4,3,11,23,121,23,11.06
Goga Bitadze,Indiana Pacers,563,83,194,20,79,45,61,60,90,37,9,60,17,94,231,45,19.3
Goran Dragić,Miami Heat,1337,240,555,91,244,101,122,25,144,219,33,8,118,113,672,50,16.29
Gordon Hayward,Charlotte Hornets,1496,311,658,85,205,156,185,37,221,181,52,14,91,74,863,44,21.66
Gorgui Dieng,Memphis Grizzlies,373,56,108,23,48,38,43,28,70,29,17,14,22,38,173,22,22.53
Gorgui Dieng,San Antonio Spurs,181,29,55,7,22,20,24,12,30,19,9,2,10,18,85,16,21.97
Grant Riller,Charlotte Hornets,26,8,12,2,4,0,0,0,1,3,1,0,1,0,18,7,28.95
Grant Williams,Boston Celtics,1138,108,247,48,129,30,51,48,130,64,32,24,56,161,294,63,8.96
Grayson Allen,Memphis Grizzlies,1256,173,414,107,274,79,91,19,141,108,46,8,48,71,532,50,15.9
Greg Whittington,Denver Nuggets,11,0,3,0,2,0,0,0,0,0,0,0,0,0,0,4,-10.69
Hamidou Diallo,Detroit Pistons,464,81,173,16,41,45,68,22,85,24,10,12,27,51,223,20,16.06
Hamidou Diallo,Oklahoma City Thunder,762,143,297,12,41,83,132,37,128,77,31,12,49,83,381,32,18.18
Harrison Barnes,Sacramento Kings,2100,319,642,100,256,195,235,64,321,201,43,11,93,75,933,58,18.52
Harry Giles,Portland Trail Blazers,346,42,97,8,23,16,27,31,102,29,8,13,20,54,108,38,14.6
Hassan Whiteside,Sacramento Kings,549,126,224,0,1,41,79,61,154,20,9,46,40,73,293,36,22.53
Henry Ellenson,Toronto Raptors,38,5,14,2,9,3,4,3,9,5,0,0,0,7,15,2,15.89
Ignas Brazdeikis,New York Knicks,7,0,1,0,0,2,2,1,1,1,0,0,1,0,2,4,12.74
Ignas Brazdeikis,Orlando Magic,234,35,79,11,27,8,12,10,31,16,4,3,11,22,89,8,12.44
Ignas Brazdeikis,Philadelphia 76ers,8,0,3,0,1,0,0,0,2,0,0,0,0,0,0,1,-11.02
Iman Shumpert,Brooklyn Nets,11,1,4,0,3,0,0,1,0,0,1,0,1,0,2,2,0.68
Immanuel Quickley,New York Knicks,1243,229,580,118,303,155,174,25,112,127,30,12,58,114,731,64,18.45
Isaac Bonga,Washington Wizards,428,30,81,13,47,5,8,18,48,23,11,9,22,63,78,40,5.4
Isaac Okoro,Cleveland Cavaliers,2172,235,559,62,214,114,157,68,138,128,62,24,86,185,646,67,9.57
Isaiah Hartenstein,Cleveland Cavaliers,288,53,91,2,6,24,35,25,71,40,8,19,23,45,132,16,23.07
Isaiah Hartenstein,Denver Nuggets,275,41,80,0,0,22,36,40,45,15,11,20,21,59,104,30,17.18
Isaiah Joe,Philadelphia 76ers,383,48,133,39,106,18,24,6,30,20,12,4,11,34,153,41,11.83
Isaiah Roby,Oklahoma City Thunder,1428,207,429,32,109,87,117,89,252,107,52,37,113,162,533,61,14.35
Isaiah Stewart,Detroit Pistons,1457,226,409,21,63,64,92,159,294,59,39,86,67,184,537,68,18.58
Isaiah Thomas,New Orleans Pelicans,48,9,27,3,12,2,2,1,3,5,1,0,6,3,23,3,5.26
Ish Smith,Washington Wizards,921,129,297,18,49,19,33,22,128,172,32,13,41,62,295,44,14.88
Ivica Zubac,Los Angeles Clippers,1608,257,394,1,4,135,171,189,330,90,24,62,81,187,650,72,21.08
